,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Athlete,4149,80,17,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Athlete (band)
Finger Eleven,4125,74,10,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Finger Eleven
The Album Leaf,29246,253,27,"['alternative', 'electronics', 'soundtrack']",http://en.wikipedia.org/wiki/The Album Leaf
Amon Tobin,4742,213,39,"['electronics', 'alternative', 'videogame']",http://en.wikipedia.org/wiki/Amon Tobin
Brandy,5366,219,34,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Brandy Norwood
The Monkees,2460,271,37,"['pop', 'rock', 'holiday']",http://en.wikipedia.org/wiki/The Monkees
Ashlee Simpson,736,49,9,['pop'],http://en.wikipedia.org/wiki/Ashlee Simpson
Jack White,19367,74,9,"['alternative', 'rock', 'soundtrack']",http://en.wikipedia.org/wiki/Jack White
Eagle‐Eye Cherry,1694,93,16,"['pop', 'rock', 'dance']",http://en.wikipedia.org/wiki/Eagle-Eye Cherry
Anberlin,10009,116,18,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Anberlin
Jewel,440,251,34,['pop'],http://en.wikipedia.org/wiki/Jewel (singer)
JoJo,1473,228,45,[],http://en.wikipedia.org/wiki/JoJo (singer)
As I Lay Dying,27101,102,10,['metalcoregenre'],http://en.wikipedia.org/wiki/As I Lay Dying (band)
The Veronicas,3457,79,14,"['pop', 'dance', 'alternative']",http://en.wikipedia.org/wiki/The Veronicas
Simply Red,8845,189,21,"['pop', 'relax']",http://en.wikipedia.org/wiki/Simply Red
Dope,155628,107,8,['numetal'],http://en.wikipedia.org/wiki/Dope (band)
UB40,56736,340,48,"['reggae', 'pop', 'dub']",http://en.wikipedia.org/wiki/UB40
Grouplove,5074,108,26,['indie'],http://en.wikipedia.org/wiki/Grouplove
Semisonic,1076,51,5,"['rock', 'pop']",http://en.wikipedia.org/wiki/Semisonic
Fever Ray,8761,9,1,"['alternative', 'electronics']",
Ben Howard,16117,67,12,"['foreignbard', 'folk']",http://en.wikipedia.org/wiki/Ben Howard
Men at Work,1413,40,2,"['pop', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Men at Work
Donovan,2453,413,47,"['rock', 'pop', 'folk']",http://en.wikipedia.org/wiki/Donovan
Craig David,55870,169,15,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Craig David
Metronomy,12856,145,38,"['electronics', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Metronomy
Bob Sinclar,33334,276,68,"['dance', 'house', 'electronics']",http://en.wikipedia.org/wiki/Bob Sinclar
Brad Paisley,1460,237,3,"['country', 'holiday']",http://en.wikipedia.org/wiki/Brad Paisley
Siouxsie and the Banshees,46323,152,15,"['rock', 'punk']",http://en.wikipedia.org/wiki/Siouxsie and the Banshees
The Crystal Method,24732,186,30,['breakbeatgenre'],http://en.wikipedia.org/wiki/The Crystal Method
Danny Elfman,3696,1042,47,"['films', 'soundtrack', 'alternative']",http://en.wikipedia.org/wiki/Danny Elfman
Story of the Year,60640,78,9,['posthardcore'],http://en.wikipedia.org/wiki/Story of the Year
Clint Mansell,5866,333,22,"['films', 'soundtrack']",http://en.wikipedia.org/wiki/Clint Mansell
The Vaccines,7257,100,3,"['indie', 'alternative', 'rock']",http://en.wikipedia.org/wiki/The Vaccines
Curtis Mayfield,3069,236,35,"['rnb', 'soul', 'soundtrack']",http://en.wikipedia.org/wiki/Curtis Mayfield
Clean Bandit,472841,138,37,"['dance', 'electronics', 'pop']",http://en.wikipedia.org/wiki/Clean Bandit
Everything but the Girl,3149,191,20,"['pop', 'dance', 'rock']",http://en.wikipedia.org/wiki/Everything but the Girl
Sneaker Pimps,4252,99,18,['triphopgenre'],http://en.wikipedia.org/wiki/Sneaker Pimps
Burial,16003,77,19,['bassgenre'],http://en.wikipedia.org/wiki/Burial (musician)
Pixie Lott,2810,93,21,"['pop', 'dance', 'soundtrack']",http://en.wikipedia.org/wiki/Pixie Lott
Matt & Kim,1298,74,19,['indie'],http://en.wikipedia.org/wiki/Matt and Kim
Kenny Chesney,3824,135,5,"['country', 'holiday']",http://en.wikipedia.org/wiki/Kenny Chesney
Yeasayer,688,34,5,"['alternative', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Yeasayer
The Jesus and Mary Chain,3695,157,9,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/The Jesus and Mary Chain
Carpenters,2025,245,26,"['pop', 'holiday', 'rock']",http://en.wikipedia.org/wiki/The Carpenters
The Lonely Island,3786,90,7,"['foreignrap', 'soundtrack']",http://en.wikipedia.org/wiki/The Lonely Island
Deerhunter,1889,94,13,['indie'],http://en.wikipedia.org/wiki/Deerhunter
The Bangles,1710,99,10,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Bangles
Simian Mobile Disco,682,44,11,"['pop', 'electronics', 'house']",http://en.wikipedia.org/wiki/Simian Mobile Disco
Barry White,40159,309,64,"['rnb', 'soul', 'estrada']",http://en.wikipedia.org/wiki/Barry White
Mazzy Star,7462,52,6,"['alternative', 'indie', 'pop']",http://en.wikipedia.org/wiki/Mazzy Star
Ra Ra Riot,478,56,11,['indie'],http://en.wikipedia.org/wiki/Ra Ra Riot
Vangelis,16556,326,34,['newage'],http://en.wikipedia.org/wiki/Vangelis
Boney M.,833682,200,7,"['pop', 'estrada', 'dance']",http://en.wikipedia.org/wiki/Boney M.
M. Ward,149,103,12,"['alternative', 'jazz', 'country']",http://en.wikipedia.org/wiki/M. Ward
Camera Obscura,578,56,10,"['alternative', 'pop', 'rock']",http://en.wikipedia.org/wiki/Camera Obscura (band)
Hard‐Fi,1351,50,17,"['rock', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Hard-Fi
Take That,7743,152,22,"['pop', 'dance']",http://en.wikipedia.org/wiki/Take That
"Crosby, Stills, Nash & Young",1166,170,9,['folkrock'],
Kavinsky,29901,34,7,['electronics'],http://en.wikipedia.org/wiki/Kavinsky
Johannes Brahms,138982,58055,4917,[],
Roxy Music,14535,107,27,"['pop', 'rock', 'newwave']",http://en.wikipedia.org/wiki/Roxy Music
Eric Prydz,14388,42,6,"['dance', 'electronics', 'house']",http://en.wikipedia.org/wiki/Eric Prydz
Neil Diamond,1511,538,69,"['pop', 'rock', 'holiday']",http://en.wikipedia.org/wiki/Neil Diamond
Alphaville,28458,183,26,"['pop', 'electronics']",http://en.wikipedia.org/wiki/Alphaville (band)
Thrice,3,25,1,['jazz'],
Phantom Planet,481,63,5,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Phantom Planet
Coheed and Cambria,13833,112,9,"['prog', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Coheed and Cambria
Alkaline Trio,4066,151,18,['punk'],http://en.wikipedia.org/wiki/Alkaline Trio
CocoRosie,3661,64,7,['indie'],http://en.wikipedia.org/wiki/CocoRosie
Flogging Molly,4349,40,5,['punk'],http://en.wikipedia.org/wiki/Flogging Molly
Martin Solveig,54075,160,44,"['dance', 'electronics', 'house']",http://en.wikipedia.org/wiki/Martin Solveig
The Corrs,1081,134,19,"['pop', 'holiday']",http://en.wikipedia.org/wiki/The Corrs
Tokyo Police Club,998,81,11,['indie'],http://en.wikipedia.org/wiki/Tokyo Police Club
Lloyd,1967,392,70,"['rap', 'soul', 'rnb']",http://en.wikipedia.org/wiki/Lloyd (singer)
The Coral,2058,152,7,"['indie', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Coral
Alter Bridge,9072,108,13,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Alter Bridge
Mike Oldfield,11012,317,34,['newage'],http://en.wikipedia.org/wiki/Mike Oldfield
Damian Marley,119346,162,18,"['reggae', 'rap', 'electronics']",http://en.wikipedia.org/wiki/Damian Marley
Mastodon,277585,122,21,['progmetal'],http://en.wikipedia.org/wiki/Mastodon (band)
hellogoodbye,478,103,16,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Hellogoodbye
Daniel Powter,2987,47,11,"['pop', 'dance', 'japanesepop']",http://en.wikipedia.org/wiki/Daniel Powter
Wolf Parade,873,66,8,"['indie', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Wolf Parade
Built to Spill,1115,126,18,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Built to Spill
Tom Jones,22450,661,73,['estrada'],http://en.wikipedia.org/wiki/Tom Jones (singer)
Little Dragon,2197,137,35,"['electronics', 'pop', 'dance']",http://en.wikipedia.org/wiki/Little Dragon
Ginuwine,2540,116,4,"['rnb', 'pop', 'dance']",http://en.wikipedia.org/wiki/Ginuwine
The Wallflowers,802,95,12,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Wallflowers
Erik Satie,56916,11685,1055,[],
All That Remains,12283,100,10,['metalcoregenre'],http://en.wikipedia.org/wiki/All That Remains (band)
Omarion,2745,137,16,"['rnb', 'pop', 'rap']",http://en.wikipedia.org/wiki/Omarion
Orbital,8051,170,33,['idmgenre'],http://en.wikipedia.org/wiki/Orbital (band)
Serj Tankian,116932,307,33,"['rock', 'classical', 'films']",http://en.wikipedia.org/wiki/Serj Tankian
Suede,4341,230,37,"['rock', 'pop']",http://en.wikipedia.org/wiki/Suede (band)
Blonde Redhead,6983,134,20,['indie'],http://en.wikipedia.org/wiki/Blonde Redhead
The Jam,1380,165,16,['rock'],http://en.wikipedia.org/wiki/The Jam
Dinosaur Jr.,2073,160,20,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Dinosaur Jr.
Derek and the Dominos,14044,39,5,"['rock', 'blues', 'pop']",http://en.wikipedia.org/wiki/Derek and the Dominos
Macy Gray,3605,189,26,"['pop', 'rnb', 'soul']",http://en.wikipedia.org/wiki/Macy Gray
Chromeo,18275,187,34,['disco'],http://en.wikipedia.org/wiki/Chromeo
Jem,3533,44,5,"['pop', 'electronics']",http://en.wikipedia.org/wiki/Jem (singer)
Goldfinger,4478,118,5,"['punk', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Goldfinger (band)
Stevie Ray Vaughan,22644,172,13,"['rock', 'blues', 'soul']",http://en.wikipedia.org/wiki/Stevie Ray Vaughan
Dead Kennedys,15120,109,16,"['rock', 'punk']",http://en.wikipedia.org/wiki/Dead Kennedys
Talib Kweli,3483,538,68,"['rap', 'foreignrap', 'soul']",http://en.wikipedia.org/wiki/Talib Kweli
Opeth,58841,131,19,['progmetal'],http://en.wikipedia.org/wiki/Opeth
Four Tops,1808,528,70,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Four Tops
The Stranglers,44537,311,34,"['pop', 'rock', 'newwave']",http://en.wikipedia.org/wiki/The Stranglers
Young the Giant,8966,57,10,['indie'],http://en.wikipedia.org/wiki/Young the Giant
Chase & Status,84522,141,31,['dnb'],http://en.wikipedia.org/wiki/Chase & Status
Muddy Waters,43470,1597,267,"['blues', 'jazz', 'pop']",http://en.wikipedia.org/wiki/Muddy Waters
Crowded House,1988,169,17,"['rock', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Crowded House
Adema,4971,41,2,['numetal'],http://en.wikipedia.org/wiki/Adema
John Lee Hooker,113536,1914,443,"['blues', 'jazz', 'pop']",http://en.wikipedia.org/wiki/John Lee Hooker
G-Unit,21534,96,7,"['rap', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/G-Unit
Starsailor,3041,65,15,['indie'],http://en.wikipedia.org/wiki/Starsailor (band)
Aloe Blacc,346609,317,62,"['dance', 'pop', 'rap']",http://en.wikipedia.org/wiki/Aloe Blacc
Ashanti,12110,220,32,"['rnb', 'soul', 'rap']",http://en.wikipedia.org/wiki/Ashanti (singer)
Obie Trice,14741,144,21,"['rap', 'foreignrap', 'pop']",http://en.wikipedia.org/wiki/Obie Trice
Matisyahu,46361,137,22,['reggae'],http://en.wikipedia.org/wiki/Matisyahu
Bone Thugs‐n‐Harmony,1450,546,46,"['rap', 'foreignrap', 'dance']",http://en.wikipedia.org/wiki/Bone Thugs-n-Harmony
Boyz II Men,11101,210,23,"['rnb', 'rap', 'holiday']",http://en.wikipedia.org/wiki/Boyz II Men
Bow Wow,719,99,16,"['rap', 'pop', 'rock']",http://en.wikipedia.org/wiki/Bow Wow (band)
The Chainsmokers,202671,91,7,['edmgenre'],http://en.wikipedia.org/wiki/The Chainsmokers
Lacuna Coil,46290,128,0,['alternativemetal'],http://en.wikipedia.org/wiki/Lacuna Coil
Spin Doctors,533,61,3,"['pop', 'rock', 'reggae']",http://en.wikipedia.org/wiki/Spin Doctors
George Frideric Handel,202665,65057,3060,[],
Suzanne Vega,5038,158,26,"['rock', 'pop', 'folk']",http://en.wikipedia.org/wiki/Suzanne Vega
The Walkmen,510,99,11,"['alternative', 'pop', 'rock']",http://en.wikipedia.org/wiki/The Walkmen
Porcupine Tree,26211,178,23,"['rock', 'prog']",http://en.wikipedia.org/wiki/Porcupine Tree
Miguel,56765,220,21,"['rnb', 'rap', 'country']",http://en.wikipedia.org/wiki/Miguel (singer)
Twisted Sister,47177,115,19,"['classicmetal', 'rock', 'hardrock']",http://en.wikipedia.org/wiki/Twisted Sister
Death From Above,2700,47,12,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Death from Above (band)
Olly Murs,20129,111,2,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Olly Murs
The Neighbourhood,462488,87,1,['indie'],http://en.wikipedia.org/wiki/The Neighbourhood
The Pogues,1823,180,20,['folkrock'],http://en.wikipedia.org/wiki/The Pogues
The Futureheads,605,72,12,"['rock', 'alternative', 'prog']",http://en.wikipedia.org/wiki/The Futureheads
Matt Nathanson,948,175,23,['indie'],http://en.wikipedia.org/wiki/Matt Nathanson
Chris Isaak,341991,201,16,"['rock', 'pop', 'holiday']",http://en.wikipedia.org/wiki/Chris Isaak
Amos Lee,856,151,24,"['foreignbard', 'folkrock', 'jazz']",http://en.wikipedia.org/wiki/Amos Lee
Tycho,5597,103,29,['idmgenre'],
She & Him,2074,88,8,"['pop', 'alternative', 'rock']",http://en.wikipedia.org/wiki/She & Him
Icona Pop,4941,130,38,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Icona Pop
Cheap Trick,1802,264,16,"['rock', 'hardrock', 'punk']",http://en.wikipedia.org/wiki/Cheap Trick
Eagles of Death Metal,4662,58,7,"['rock', 'holiday', 'alternative']",http://en.wikipedia.org/wiki/Eagles of Death Metal
Max Richter,30304,665,60,"['classical', 'films', 'modern']",http://en.wikipedia.org/wiki/Max Richter
Gary Jules,1302,18,2,"['alternative', 'folkrock']",http://en.wikipedia.org/wiki/Gary Jules
Dizzee Rascal,9392,186,37,"['rap', 'dance', 'pop']",http://en.wikipedia.org/wiki/Dizzee Rascal
Lindsay Lohan,1910,34,6,"['pop', 'dance']",http://en.wikipedia.org/wiki/Lindsay Lohan
Madness,6740,246,24,"['ska', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Madness (band)
Frank Zappa,6516,1581,121,"['rock', 'prog', 'modern']",http://en.wikipedia.org/wiki/Frank Zappa
Washed Out,2127,70,16,"['electronics', 'alternative', 'rap']",http://en.wikipedia.org/wiki/Washed Out
Keith Urban,1432,155,23,"['pop', 'country', 'dance']",http://en.wikipedia.org/wiki/Keith Urban
Sugarcult,932,41,4,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Sugarcult
Infected Mushroom,280358,201,59,['trance'],http://en.wikipedia.org/wiki/Infected Mushroom
Ólafur Arnalds,20757,217,43,['modern'],http://en.wikipedia.org/wiki/Ólafur Arnalds
Cam’ron,291,463,45,"['rap', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Cam'ron
Meat Loaf,2944,203,23,"['rock', 'pop']",http://en.wikipedia.org/wiki/Meat Loaf
Jamie Foxx,551,158,3,['rnb'],http://en.wikipedia.org/wiki/Jamie Foxx
Commodores,19716,180,35,"['rnb', 'pop', 'funk']",http://en.wikipedia.org/wiki/Commodores
Chiddy Bang,376,97,27,"['rap', 'edmgenre', 'pop']",http://en.wikipedia.org/wiki/Chiddy Bang
Alexi Murdoch,1939,22,4,"['alternative', 'folkrock']",http://en.wikipedia.org/wiki/Alexi Murdoch
The Moody Blues,5350,290,35,"['rock', 'pop', 'prog']",http://en.wikipedia.org/wiki/The Moody Blues
Devo,27154,132,14,"['rock', 'alternative', 'electronics']",http://en.wikipedia.org/wiki/Devo
Vance Joy,271768,45,14,['foreignbard'],http://en.wikipedia.org/wiki/Vance Joy
The Rasmus,636954,139,36,['alternative'],http://en.wikipedia.org/wiki/The Rasmus
John Denver,30918,401,22,"['country', 'foreignbard', 'rock']",http://en.wikipedia.org/wiki/John Denver
Charli XCX,57567,226,48,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Charli XCX
Michelle Branch,302,63,6,['pop'],http://en.wikipedia.org/wiki/Michelle Branch
Antony and the Johnsons,3233,70,16,['indie'],http://en.wikipedia.org/wiki/Anohni and the Johnsons
The 1975,25548,95,20,['indie'],http://en.wikipedia.org/wiki/The 1975
Aqualung,500,99,18,"['alternative', 'pop']",http://en.wikipedia.org/wiki/Aqualung (musician)
Madeleine Peyroux,3664,131,11,['vocaljazz'],http://en.wikipedia.org/wiki/Madeleine Peyroux
Flying Lotus,4488,31,4,['bassgenre'],http://en.wikipedia.org/wiki/Flying Lotus
twenty one pilots,1415681,67,12,['indie'],http://en.wikipedia.org/wiki/Twenty One Pilots
Adam Lambert,38162,139,17,"['pop', 'rock', 'dance']",http://en.wikipedia.org/wiki/Adam Lambert
Method Man,17716,437,39,['rap'],http://en.wikipedia.org/wiki/Method Man
Estelle,3285,243,42,"['soul', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Estelle (musician)
Paul Oakenfold,11698,236,52,"['dance', 'electronics', 'pop']",http://en.wikipedia.org/wiki/Paul Oakenfold
Steely Dan,1805,169,30,"['rock', 'pop', 'jazz']",http://en.wikipedia.org/wiki/Steely Dan
Kenny Loggins,1422,137,5,"['pop', 'rock', 'children']",http://en.wikipedia.org/wiki/Kenny Loggins
Daughter,47573,59,13,"['indie', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Daughter (band)
Andy Williams,7607,1117,195,"['pop', 'films', 'holiday']",http://en.wikipedia.org/wiki/Andy Williams
Sick Puppies,21426,54,12,['alternativemetal'],http://en.wikipedia.org/wiki/Sick Puppies
Ja Rule,4454,204,14,"['rap', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Ja Rule
Skid Row,17297,57,6,"['hardrock', 'classicmetal', 'metal']",http://en.wikipedia.org/wiki/Skid Row (American band)
The Academy Is…,1338,48,8,"['alternative', 'rock', 'punk']",http://en.wikipedia.org/wiki/The Academy Is...
"Tyler, the Creator",116611,179,5,"['rap', 'rnb', 'foreignrap']","http://en.wikipedia.org/wiki/Tyler, the Creator"
The B‐52s,3150,78,15,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/The B-52's
Plies,530,407,61,"['rap', 'foreignrap', 'pop']",http://en.wikipedia.org/wiki/Plies (rapper)
Feeder,1601,224,53,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Feeder (band)
Red,34487,93,2,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Red (band)
Orchestral Manoeuvres in the Dark,2077,287,30,"['pop', 'electronics', 'alternative']",http://en.wikipedia.org/wiki/Orchestral Manoeuvres in the Dark
Neon Trees,4902,65,15,['alternative'],http://en.wikipedia.org/wiki/Neon Trees
Aimee Mann,423,88,11,"['pop', 'rock', 'soundtrack']",http://en.wikipedia.org/wiki/Aimee Mann
Tim McGraw,987,279,33,"['country', 'rap', 'pop']",http://en.wikipedia.org/wiki/Tim McGraw
Twista,1376,506,81,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Twista
Rogue Wave,475,104,16,['indie'],http://en.wikipedia.org/wiki/Rogue Wave (band)
Pat Benatar,4291,162,29,"['rock', 'hardrock', 'holiday']",http://en.wikipedia.org/wiki/Pat Benatar
Five for Fighting,747,77,15,"['foreignbard', 'indie', 'pop']",http://en.wikipedia.org/wiki/Five for Fighting
Walk the Moon,7528,67,1,['rock'],http://en.wikipedia.org/wiki/Walk the Moon
Sarah Vaughan,20557,3470,514,['vocaljazz'],http://en.wikipedia.org/wiki/Sarah Vaughan
LL Cool J,5535,250,18,"['rap', 'rnb', 'foreignrap']",http://en.wikipedia.org/wiki/LL Cool J
Amerie,2264,70,4,"['pop', 'rnb', 'rap']",http://en.wikipedia.org/wiki/Amerie
Scooter,452280,273,80,"['electronics', 'dance', 'trance']",http://en.wikipedia.org/wiki/Scooter (band)
Ben Folds Five,153,66,4,"['pop', 'rock']",http://en.wikipedia.org/wiki/Ben Folds Five
Tove Lo,52380,177,34,['pop'],http://en.wikipedia.org/wiki/Tove Lo
CHVRCHΞS,21805,94,27,['electronics'],http://en.wikipedia.org/wiki/Chvrches
Mr. Scruff,593,107,28,"['electronics', 'dance']",http://en.wikipedia.org/wiki/Mr. Scruff
The Pretty Reckless,218645,56,7,"['hardrock', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Taylor Momsen
The Wanted,2852,99,17,"['pop', 'dance']",http://en.wikipedia.org/wiki/The Wanted
Thelonious Monk,15131,1785,400,['bebopgenre'],http://en.wikipedia.org/wiki/Thelonious Monk
REO Speedwagon,1703,181,11,"['rock', 'hardrock']",http://en.wikipedia.org/wiki/REO Speedwagon
Reel Big Fish,45149,205,11,['ska'],http://en.wikipedia.org/wiki/Reel Big Fish
Jurassic 5,913,65,7,"['rap', 'pop', 'dance']",http://en.wikipedia.org/wiki/Jurassic 5
The Magnetic Fields,653,135,11,['indie'],http://en.wikipedia.org/wiki/The Magnetic Fields
Ill Niño,19584,82,9,['numetal'],http://en.wikipedia.org/wiki/Ill Niño
The Cribs,838,33,6,['indie'],http://en.wikipedia.org/wiki/The Cribs
Aqua,9843,81,20,"['pop', 'classical']",http://en.wikipedia.org/wiki/Aqua (band)
Don McLean,1237,330,38,"['pop', 'rock', 'country']",http://en.wikipedia.org/wiki/Don McLean
Blake Shelton,17310,206,37,"['country', 'pop', 'holiday']",http://en.wikipedia.org/wiki/Blake Shelton
Edvard Grieg,123273,18394,1725,[],
Róisín Murphy,5543,137,27,"['electronics', 'pop', 'dance']",http://en.wikipedia.org/wiki/Róisín Murphy
Underoath,12120,108,20,['metalcoregenre'],http://en.wikipedia.org/wiki/Underoath
The New Pornographers,1418,118,16,['indie'],http://en.wikipedia.org/wiki/The New Pornographers
múm,2119,9,1,['pop'],http://en.wikipedia.org/wiki/Múm
Don Henley,1043,99,9,"['rock', 'pop', 'country']",http://en.wikipedia.org/wiki/Don Henley
Ricky Martin,51630,190,1,"['pop', 'latinfolk']",http://en.wikipedia.org/wiki/Ricky Martin
Fat Joe,9007,394,72,"['rap', 'foreignrap', 'pop']",http://en.wikipedia.org/wiki/Fat Joe
Daddy Yankee,335548,451,93,"['latinfolk', 'pop', 'reggaeton']",http://en.wikipedia.org/wiki/Daddy Yankee
Peaches,1776,285,57,['indie'],http://en.wikipedia.org/wiki/Peaches (musician)
Dinah Washington,11618,2615,465,['vocaljazz'],http://en.wikipedia.org/wiki/Dinah Washington
A Fine Frenzy,673,36,12,"['pop', 'rock', 'holiday']",http://en.wikipedia.org/wiki/Alison Sudol
John Mellencamp,403,278,31,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/John Mellencamp
Kaskade,9003,395,95,"['dance', 'electronics', 'house']",http://en.wikipedia.org/wiki/Kaskade
House of Pain,10596,53,8,"['rap', 'dance']",http://en.wikipedia.org/wiki/House of Pain
Tosca,1027,29,2,['electronics'],http://en.wikipedia.org/wiki/Tosca (band)
Atmosphere,2119,329,35,"['rap', 'foreignrap', 'dance']",http://en.wikipedia.org/wiki/Atmosphere (music group)
Mayday Parade,2500,113,19,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Mayday Parade
Ben E. King,43136,543,125,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Ben E. King
Three 6 Mafia,10023,408,28,"['rap', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/Three 6 Mafia
Chris Rea,802635,411,43,"['pop', 'blues', 'rock']",http://en.wikipedia.org/wiki/Chris Rea
Kid Rock,4011,178,19,"['rock', 'country', 'rap']",http://en.wikipedia.org/wiki/Kid Rock
Martin Garrix,194254,95,27,['edmgenre'],http://en.wikipedia.org/wiki/Martin Garrix
Jackson Browne,505,346,37,"['rock', 'pop', 'allrock']",http://en.wikipedia.org/wiki/Jackson Browne
Haddaway,45559,117,31,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Haddaway
Dirty Pretty Things,1186,25,4,['rock'],http://en.wikipedia.org/wiki/Dirty Pretty Things (band)
MSTRKRFT,389,74,12,"['electronics', 'dance', 'techno']",http://en.wikipedia.org/wiki/Mstrkrft
The Whitest Boy Alive,909,23,4,"['alternative', 'dance', 'pop']",http://en.wikipedia.org/wiki/The Whitest Boy Alive
Buzzcocks,3434,237,37,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Buzzcocks
Iggy Azalea,74686,153,26,"['rap', 'pop', 'dance']",http://en.wikipedia.org/wiki/Iggy Azalea
Girls Aloud,1102,108,9,['pop'],http://en.wikipedia.org/wiki/Girls Aloud
Paul van Dyk,1040602,326,79,['trance'],http://en.wikipedia.org/wiki/Paul van Dyk
Culture Club,1328,148,26,"['pop', 'electronics', 'rock']",http://en.wikipedia.org/wiki/Culture Club
Thousand Foot Krutch,484791,121,23,['alternativemetal'],http://en.wikipedia.org/wiki/Thousand Foot Krutch
10cc,3539,137,18,"['pop', 'rock', 'soundtrack']",http://en.wikipedia.org/wiki/10cc
Relient K,1074,202,15,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Relient K
The Dead Weather,8311,40,2,"['indie', 'alternative', 'blues']",http://en.wikipedia.org/wiki/The Dead Weather
Darude,337160,61,18,['trance'],http://en.wikipedia.org/wiki/Darude
12 Stones,5417,53,7,"['alternative', 'rock']",http://en.wikipedia.org/wiki/12 Stones
Capital Cities,29568,45,6,['indie'],http://en.wikipedia.org/wiki/Capital Cities (band)
Hurts,202216,85,3,"['pop', 'dance']",http://en.wikipedia.org/wiki/Hurts
Toby Keith,63314,295,37,"['country', 'holiday']",http://en.wikipedia.org/wiki/Toby Keith
Wings,22097,216,12,"['rock', 'pop']",http://en.wikipedia.org/wiki/Paul McCartney and Wings
William Fitzsimmons,1399,151,35,"['foreignbard', 'folk', 'pop']",http://en.wikipedia.org/wiki/William Fitzsimmons (musician)
Mat Kearney,1555,98,14,"['pop', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/Mat Kearney
Silverstein,27697,165,21,['posthardcore'],http://en.wikipedia.org/wiki/Silverstein (band)
Crazy Town,101337,42,11,['alternative'],http://en.wikipedia.org/wiki/Crazy Town
Leftfield,1553,65,6,"['electronics', 'dance', 'pop']",http://en.wikipedia.org/wiki/Leftfield
Sophie Ellis‐Bextor,13447,75,13,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Sophie Ellis-Bextor
Badly Drawn Boy,271,179,26,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Badly Drawn Boy
Ladyhawke,1725,71,18,"['pop', 'electronics', 'alternative']",http://en.wikipedia.org/wiki/Ladyhawke (musician)
Flume,11995,52,11,['bassgenre'],http://en.wikipedia.org/wiki/Flume (musician)
Bad Company,5105,144,18,"['hardrock', 'rock']",http://en.wikipedia.org/wiki/Bad Company
The Ronettes,2614,72,20,"['rock', 'pop', 'rnb']",http://en.wikipedia.org/wiki/The Ronettes
Jason Aldean,1302,151,3,"['country', 'holiday']",http://en.wikipedia.org/wiki/Jason Aldean
