,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Depeche Mode,1063044,255,1,"['electronics', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Depeche Mode
Moby,1009245,516,104,['electronics'],http://en.wikipedia.org/wiki/Moby
Bob Dylan,244184,1509,96,['foreignbard'],http://en.wikipedia.org/wiki/Bob Dylan
Usher,71444,237,18,"['rnb', 'pop', 'dance']",http://en.wikipedia.org/wiki/Usher (musician)
50 Cent,1607175,331,44,['foreignrap'],http://en.wikipedia.org/wiki/50 Cent
The Kooks,48987,155,37,['indie'],http://en.wikipedia.org/wiki/The Kooks
Placebo,657049,153,17,['rock'],http://en.wikipedia.org/wiki/Placebo (band)
Avril Lavigne,243939,114,7,['alternative'],http://en.wikipedia.org/wiki/Avril Lavigne
Chris Brown,320219,731,66,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Chris Brown
Christopher Brown,320219,731,66,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Chris Brown
Incubus,26827,130,5,['alternative'],http://en.wikipedia.org/wiki/Incubus (band)
Massive Attack,88188,164,26,['triphopgenre'],http://en.wikipedia.org/wiki/Massive Attack
Arcade Fire,24544,94,1,['indie'],http://en.wikipedia.org/wiki/Arcade Fire
Korn,997902,201,18,['numetal'],http://en.wikipedia.org/wiki/Korn
Jack Johnson,5692,175,23,"['rock', 'foreignbard', 'pop']",http://en.wikipedia.org/wiki/Jack Johnson (musician)
3 Doors Down,240414,100,16,"['rock', 'vocal', 'alternative']",http://en.wikipedia.org/wiki/3 Doors Down
Amy Winehouse,1058372,88,13,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Amy Winehouse
Bloc Party,10702,49,12,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Bloc Party
OutKast,22378,166,0,"['rap', 'pop']",http://en.wikipedia.org/wiki/Outkast
Elton John,134271,760,71,"['pop', 'rock', 'dance']",http://en.wikipedia.org/wiki/Elton John
Yeah Yeah Yeahs,23829,58,8,"['alternative', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Yeah Yeah Yeahs
P!nk,333732,170,1,"['pop', 'films']",http://en.wikipedia.org/wiki/Pink (singer)
Snoop Dogg,816285,1640,246,['foreignrap'],http://en.wikipedia.org/wiki/Snoop Dogg
Kid Cudi,69364,197,20,"['rap', 'alternative', 'dance']",http://en.wikipedia.org/wiki/Kid Cudi
Kesha,42285,132,9,['pop'],http://en.wikipedia.org/wiki/Kesha
Paramore,136472,85,18,"['alternative', 'rock', 'dance']",http://en.wikipedia.org/wiki/paramore
Queens of the Stone Age,28929,103,16,"['stonerrock', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Queens of the Stone Age
Papa Roach,945498,177,34,['numetal'],http://en.wikipedia.org/wiki/Papa Roach
Mariah Carey,109715,364,41,"['pop', 'holiday', 'rnb']",http://en.wikipedia.org/wiki/Mariah Carey
John Mayer,7936,130,3,['rock'],http://en.wikipedia.org/wiki/John Mayer
Black Sabbath,205511,160,25,['classicmetal'],http://en.wikipedia.org/wiki/Black Sabbath
Kasabian,106597,87,1,['rock'],http://en.wikipedia.org/wiki/Kasabian
The Beach Boys,45342,907,123,"['rock', 'pop', 'rnr']",http://en.wikipedia.org/wiki/The Beach Boys
Kelly Clarkson,25721,205,26,"['pop', 'dance', 'holiday']",http://en.wikipedia.org/wiki/Kelly Clarkson
T.I.,52878,849,67,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/T.I.
Keane,44264,129,32,['rock'],http://en.wikipedia.org/wiki/Keane (band)
Eric Clapton,1011132,608,46,"['rock', 'blues', 'holiday']",http://en.wikipedia.org/wiki/Eric Clapton
