,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Depeche Mode,1060869,255,1,"['electronics', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Depeche Mode
Moby,998089,517,104,['electronics'],http://en.wikipedia.org/wiki/Moby
Bob Dylan,243870,1511,96,['foreignbard'],http://en.wikipedia.org/wiki/Bob Dylan
Usher,71387,237,18,"['rnb', 'pop', 'dance']",http://en.wikipedia.org/wiki/Usher (musician)
50 Cent,1556987,331,44,['foreignrap'],http://en.wikipedia.org/wiki/50 Cent
The Kooks,48805,155,37,['indie'],http://en.wikipedia.org/wiki/The Kooks
Placebo,648747,153,17,['rock'],http://en.wikipedia.org/wiki/Placebo (band)
Avril Lavigne,243450,114,7,['alternative'],http://en.wikipedia.org/wiki/Avril Lavigne
Chris Brown,319586,732,66,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Chris Brown
Christopher Brown,319586,732,66,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Chris Brown
Incubus,26752,130,5,['alternative'],http://en.wikipedia.org/wiki/Incubus (band)
Massive Attack,87639,161,26,['triphopgenre'],http://en.wikipedia.org/wiki/Massive Attack
Arcade Fire,24511,94,1,['indie'],http://en.wikipedia.org/wiki/Arcade Fire
Korn,987002,201,18,['numetal'],http://en.wikipedia.org/wiki/Korn
Jack Johnson,5601,175,23,"['rock', 'foreignbard', 'pop']",http://en.wikipedia.org/wiki/Jack Johnson (musician)
3 Doors Down,237030,100,16,"['rock', 'vocal', 'alternative']",http://en.wikipedia.org/wiki/3 Doors Down
Amy Winehouse,1054292,88,13,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Amy Winehouse
Bloc Party,10648,49,12,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Bloc Party
OutKast,22258,157,0,"['rap', 'pop']",http://en.wikipedia.org/wiki/Outkast
Elton John,132963,761,71,"['pop', 'rock', 'dance']",http://en.wikipedia.org/wiki/Elton John
