,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
LCD Soundsystem,5704,96,17,['indie'],http://en.wikipedia.org/wiki/LCD Soundsystem
KISS,779395,312,47,"['hardrock', 'rock', 'classicmetal']",http://en.wikipedia.org/wiki/Kiss (band)
Sonic Youth,15606,361,43,"['alternative', 'rock', 'experimental']",http://en.wikipedia.org/wiki/Sonic Youth
Talking Heads,15755,140,22,"['rock', 'pop']",http://en.wikipedia.org/wiki/Talking Heads
Stereophonics,22776,172,18,['rock'],http://en.wikipedia.org/wiki/Stereophonics
Seether,56782,132,19,"['alternative', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Seether
Gnarls Barkley,8180,28,8,"['pop', 'foreignrap', 'funk']",http://en.wikipedia.org/wiki/Gnarls Barkley
Whitney Houston,355634,206,5,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Whitney Houston
Jeff Buckley,8296,140,5,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Jeff Buckley
a‐ha,120431,171,23,"['pop', 'rock']",http://en.wikipedia.org/wiki/A-ha
Duran Duran,38286,272,44,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Duran Duran
A Perfect Circle,31700,65,10,['alternative'],http://en.wikipedia.org/wiki/A Perfect Circle
The Jimi Hendrix Experience,42891,131,1,"['hardrock', 'rock']",
James Brown,381837,2294,378,[],http://en.wikipedia.org/wiki/James Brown
Garbage,29350,183,9,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Garbage (band)
Wolfgang Amadeus Mozart,1910887,147674,9398,[],
Lifehouse,10983,105,12,"['pop', 'rock', 'indie']",http://en.wikipedia.org/wiki/Lifehouse (band)
Lykke Li,49808,92,17,['pop'],http://en.wikipedia.org/wiki/Lykke Li
Santana,10876,743,68,"['rock', 'pop', 'latinfolk']",http://en.wikipedia.org/wiki/Santana (band)
J. Cole,31056,205,26,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/J. Cole
Tool,457442,63,0,['prog'],http://en.wikipedia.org/wiki/Tool (band)
Tyga,866159,521,127,['foreignrap'],http://en.wikipedia.org/wiki/Tyga
Young Jeezy,38332,866,59,['foreignrap'],http://en.wikipedia.org/wiki/Jeezy
B.o.B,13236,556,58,"['rap', 'pop', 'dance']",http://en.wikipedia.org/wiki/B.o.B
Pantera,81216,94,19,['thrashmetal'],http://en.wikipedia.org/wiki/Pantera
Bloodhound Gang,298396,80,14,['rock'],http://en.wikipedia.org/wiki/Bloodhound Gang
Jefferson Airplane,72620,225,30,"['rock', 'rnr']",http://en.wikipedia.org/wiki/Jefferson Airplane
Avicii,646648,232,54,['edmgenre'],http://en.wikipedia.org/wiki/Avicii
Enrique Iglesias,580826,241,39,"['pop', 'latinfolk', 'dance']",http://en.wikipedia.org/wiki/Enrique Iglesias
Stone Temple Pilots,6914,110,16,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Stone Temple Pilots
Motörhead,100151,326,45,['classicmetal'],http://en.wikipedia.org/wiki/Motörhead
The Fratellis,6622,54,13,['indie'],http://en.wikipedia.org/wiki/The Fratellis
Spoon,6974,176,35,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Spoon (band)
deadmau5,30584,379,82,['edmgenre'],http://en.wikipedia.org/wiki/Deadmau5
Stone Sour,185159,110,11,['alternativemetal'],http://en.wikipedia.org/wiki/Stone Sour
Johann Sebastian Bach,1901635,230007,11219,[],
Lou Reed,6423,433,44,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Lou Reed
Crystal Castles,477337,43,5,"['electronics', 'experimental']",http://en.wikipedia.org/wiki/Crystal Castles
Aphex Twin,26654,33,2,['idmgenre'],http://en.wikipedia.org/wiki/Aphex Twin
Ice Cube,75455,313,23,['rap'],http://en.wikipedia.org/wiki/Ice Cube
Skrillex,1068255,213,41,['edmgenre'],http://en.wikipedia.org/wiki/Skrillex
Miles Davis,80601,5558,968,['bebopgenre'],http://en.wikipedia.org/wiki/Miles Davis
The Decemberists,2426,164,23,['indie'],http://en.wikipedia.org/wiki/The Decemberists
Staind,18325,77,10,['alternativemetal'],http://en.wikipedia.org/wiki/Staind
Taio Cruz,15262,92,26,"['pop', 'dance', 'rap']",http://en.wikipedia.org/wiki/Taio Cruz
Iggy Pop,34341,584,89,['rock'],http://en.wikipedia.org/wiki/Iggy Pop
Fabolous,6044,450,52,"['rap', 'rnb', 'foreignrap']",http://en.wikipedia.org/wiki/Fabolous
The Jackson 5,34416,315,40,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/The Jackson 5
Wolfmother,10554,69,14,['hardrock'],http://en.wikipedia.org/wiki/Wolfmother
Metric,14226,91,21,['indie'],http://en.wikipedia.org/wiki/Metric (band)
EELS,9496,169,15,['rock'],http://en.wikipedia.org/wiki/Eels (band)
Nat King Cole,520836,5240,832,['vocaljazz'],http://en.wikipedia.org/wiki/Nat King Cole
Bonobo,31408,150,30,['lounge'],http://en.wikipedia.org/wiki/Bonobo (musician)
George Michael,63186,135,8,"['pop', 'classical', 'films']",http://en.wikipedia.org/wiki/George Michael
Yellowcard,32445,130,20,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Yellowcard
Cyndi Lauper,18786,200,20,"['pop', 'rock', 'rnb']",http://en.wikipedia.org/wiki/Cyndi Lauper
Godsmack,339921,95,14,['alternativemetal'],http://en.wikipedia.org/wiki/Godsmack
Electric Light Orchestra,71238,275,15,"['rock', 'pop', 'prog']",http://en.wikipedia.org/wiki/Electric Light Orchestra
The Hives,5659,81,16,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/The Hives
Tears for Fears,12450,132,11,['rock'],http://en.wikipedia.org/wiki/Tears for Fears
Eurythmics,33777,190,3,"['pop', 'dance', 'rock']",http://en.wikipedia.org/wiki/Eurythmics
Kendrick Lamar,610251,246,36,['foreignrap'],http://en.wikipedia.org/wiki/Kendrick Lamar
Cypress Hill,35700,233,7,['rap'],http://en.wikipedia.org/wiki/Cypress Hill
Hot Chip,4078,182,36,"['electronics', 'alternative', 'dance']",http://en.wikipedia.org/wiki/Hot Chip
The Ting Tings,2521,37,6,"['pop', 'indie', 'alternative']",http://en.wikipedia.org/wiki/The Ting Tings
PJ Harvey,10927,168,32,['rock'],http://en.wikipedia.org/wiki/PJ Harvey
R. Kelly,35307,398,7,"['rnb', 'rap', 'pop']",http://en.wikipedia.org/wiki/R. Kelly
Thievery Corporation,12540,172,21,['lounge'],http://en.wikipedia.org/wiki/Thievery Corporation
Foals,64517,142,25,['indie'],http://en.wikipedia.org/wiki/Foals (band)
Zero 7,5809,127,29,['triphopgenre'],http://en.wikipedia.org/wiki/Zero 7
Tom Waits,268872,508,34,['blues'],http://en.wikipedia.org/wiki/Tom Waits
DMX,289269,317,31,['rap'],http://en.wikipedia.org/wiki/DMX
Razorlight,1359,58,11,"['rock', 'foreignbard']",http://en.wikipedia.org/wiki/Razorlight
Plain White T’s,2809,108,11,['punk'],http://en.wikipedia.org/wiki/Plain White T's
Broken Social Scene,1248,111,11,"['alternative', 'indie', 'pop']",http://en.wikipedia.org/wiki/Broken Social Scene
Jessie J,31253,123,25,"['pop', 'rnb', 'holiday']",http://en.wikipedia.org/wiki/Jessie J
James Morrison,4490,102,16,"['pop', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/James Morrison (singer)
Big Sean,51059,295,48,"['rap', 'rnb', 'foreignrap']",http://en.wikipedia.org/wiki/Big Sean
Bee Gees,48975,420,54,"['pop', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/Bee Gees
Chuck Berry,829605,1095,336,"['rock', 'rnr', 'jazz']",http://en.wikipedia.org/wiki/Chuck Berry
Toto,144293,112,34,['rusrap'],http://en.wikipedia.org/wiki/Toto (band)
Hans Zimmer,64686,2480,293,[],
Imogen Heap,1768,132,13,"['pop', 'indie', 'electronics']",http://en.wikipedia.org/wiki/Imogen Heap
ZZ Top,184529,187,25,['hardrock'],http://en.wikipedia.org/wiki/ZZ Top
Nick Drake,5234,73,8,['folkrock'],http://en.wikipedia.org/wiki/Nick Drake
Colbie Caillat,1537,112,18,"['pop', 'rock', 'holiday']",http://en.wikipedia.org/wiki/Colbie Caillat
Otis Redding,12251,287,55,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Otis Redding
Backstreet Boys,42225,121,3,"['pop', 'dance', 'holiday']",http://en.wikipedia.org/wiki/Backstreet Boys
Megadeth,108636,220,27,['thrashmetal'],http://en.wikipedia.org/wiki/Megadeth
Wale,9632,559,83,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Wale (rapper)
Leonard Cohen,37184,203,8,['rock'],http://en.wikipedia.org/wiki/Leonard Cohen
Janis Joplin,16312,162,14,"['rock', 'blues', 'pop']",http://en.wikipedia.org/wiki/Janis Joplin
Natasha Bedingfield,1828,92,9,"['pop', 'dance', 'rap']",http://en.wikipedia.org/wiki/Natasha Bedingfield
TV on the Radio,10079,79,15,['indie'],http://en.wikipedia.org/wiki/TV on the Radio
Owl City,8398,116,25,['indie'],http://en.wikipedia.org/wiki/Owl City
Sarah McLachlan,1222,161,7,"['pop', 'dance', 'newage']",http://en.wikipedia.org/wiki/Sarah McLachlan
Klaxons,19954,40,7,"['indie', 'electronics', 'estrada']",http://en.wikipedia.org/wiki/Klaxons
Groove Armada,7802,230,44,"['electronics', 'house', 'dance']",http://en.wikipedia.org/wiki/Groove Armada
The Roots,8748,283,25,['rap'],http://en.wikipedia.org/wiki/The Roots
Creed,5450974,111,61,['ruspop'],http://en.wikipedia.org/wiki/Egor Kreed
Sean Paul,481413,512,96,"['dance', 'reggae', 'pop']",http://en.wikipedia.org/wiki/Sean Paul
Duffy,3469,25,4,['pop'],http://en.wikipedia.org/wiki/Duffy (singer)
Billy Talent,144796,80,17,['rock'],http://en.wikipedia.org/wiki/Billy Talent
Trey Songz,17907,395,46,"['rnb', 'rap', 'pop']",http://en.wikipedia.org/wiki/Trey Songz
Sara Bareilles,1481,156,5,"['pop', 'soundtrack', 'films']",http://en.wikipedia.org/wiki/Sara Bareilles
Grizzly Bear,3453,32,1,"['indie', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Grizzly Bear (band)
Céline Dion,70293,379,3,"['pop', 'soundtrack', 'classical']",http://en.wikipedia.org/wiki/Celine Dion
Matchbox Twenty,1801,64,9,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Matchbox Twenty
Dave Matthews Band,948,7,1,['rap'],http://en.wikipedia.org/wiki/Dave Matthews Band
Faithless,12985,163,15,['electronics'],http://en.wikipedia.org/wiki/Faithless
Alice Cooper,61675,488,56,"['hardrock', 'rock', 'metal']",http://en.wikipedia.org/wiki/Alice Cooper
P.O.D.,124526,135,13,['numetal'],http://en.wikipedia.org/wiki/P.O.D.
Slayer,98611,152,18,['thrashmetal'],http://en.wikipedia.org/wiki/Slayer
N*E*R*D,3412,89,13,"['rock', 'rap', 'pop']",http://en.wikipedia.org/wiki/N.E.R.D.
Fiona Apple,4083,84,2,"['rock', 'indie', 'pop']",http://en.wikipedia.org/wiki/Fiona Apple
Beirut,6746,92,8,['indie'],http://en.wikipedia.org/wiki/Beirut (band)
Gotye,8735,43,4,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Gotye
Yann Tiersen,118257,185,15,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Yann Tiersen
Nightwish,556668,148,30,['epicmetal'],http://en.wikipedia.org/wiki/Nightwish
Lostprophets,7967,13,0,['alternative'],http://en.wikipedia.org/wiki/Lostprophets
Judas Priest,93866,209,5,['classicmetal'],http://en.wikipedia.org/wiki/Judas Priest
Busta Rhymes,78719,562,51,"['rap', 'electronics', 'foreignrap']",http://en.wikipedia.org/wiki/Busta Rhymes
Kings of Convenience,9978,68,9,['indie'],http://en.wikipedia.org/wiki/Kings of Convenience
Cold War Kids,4914,88,17,['indie'],http://en.wikipedia.org/wiki/Cold War Kids
Pendulum,672916,78,18,['dnb'],http://en.wikipedia.org/wiki/Pendulum (drum and bass band)
Rod Stewart,20883,631,56,"['rock', 'pop', 'folk']",http://en.wikipedia.org/wiki/Rod Stewart
Drowning Pool,191701,96,10,['numetal'],http://en.wikipedia.org/wiki/Drowning Pool
The Knife,7131,25,4,['electronics'],http://en.wikipedia.org/wiki/The Knife
La Roux,5694,51,12,"['pop', 'alternative', 'electronics']",http://en.wikipedia.org/wiki/La Roux
Common,3075,334,41,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Common (rapper)
The Libertines,10252,73,15,"['alternative', 'rock', 'punk']",http://en.wikipedia.org/wiki/The Libertines
The Animals,319561,288,27,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Animals
Paul Simon,2169,368,17,"['rock', 'country', 'pop']",http://en.wikipedia.org/wiki/Paul Simon
Ben Harper,569,216,40,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Ben Harper
Tegan and Sara,3303,201,28,['indie'],http://en.wikipedia.org/wiki/Tegan and Sara
Boards of Canada,7562,24,3,['idmgenre'],http://en.wikipedia.org/wiki/Boards of Canada
A Tribe Called Quest,8648,122,0,"['rap', 'foreignrap']",http://en.wikipedia.org/wiki/A Tribe Called Quest
Wilco,1969,272,23,"['rock', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Wilco
Enya,70572,156,28,['newage'],http://en.wikipedia.org/wiki/Enya
Cat Stevens,3745,141,18,"['pop', 'rock', 'folk']",http://en.wikipedia.org/wiki/Cat Stevens
Empire of the Sun,14245,86,11,['electronics'],http://en.wikipedia.org/wiki/Empire of the Sun (band)
Genesis,34679,315,31,"['rock', 'prog', 'folk']",http://en.wikipedia.org/wiki/Genesis (band)
AFI,17064,171,16,"['alternative', 'punk', 'rock']",http://en.wikipedia.org/wiki/AFI (band)
Mary J. Blige,23617,428,45,"['rnb', 'pop', 'rap']",http://en.wikipedia.org/wiki/Mary J. Blige
Mogwai,100614,94,11,"['postrock', 'electronics', 'trance']",http://en.wikipedia.org/wiki/Mogwai
KT Tunstall,2218,172,39,['indie'],http://en.wikipedia.org/wiki/KT Tunstall
Foreigner,28788,127,37,"['rock', 'hardrock', 'pop']",http://en.wikipedia.org/wiki/Foreigner (band)
Al Green,24911,239,27,"['rnb', 'soul']",http://en.wikipedia.org/wiki/Al Green
Animal Collective,1754,187,31,"['alternative', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Animal Collective
George Harrison,31616,228,17,"['rock', 'pop']",http://en.wikipedia.org/wiki/George Harrison
DJ Shadow,8422,185,25,['triphopgenre'],http://en.wikipedia.org/wiki/DJ Shadow
Demi Lovato,160385,190,37,['pop'],http://en.wikipedia.org/wiki/Demi Lovato
Nick Cave & The Bad Seeds,27025,233,28,"['rock', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Nick Cave
Tori Amos,7220,388,26,"['rock', 'pop', 'foreignbard']",http://en.wikipedia.org/wiki/Tori Amos
Boston,5500,63,5,"['hardrock', 'rock']",http://en.wikipedia.org/wiki/Boston (band)
Janet Jackson,7662,241,38,"['pop', 'rnb', 'electronics']",http://en.wikipedia.org/wiki/Janet Jackson
Kelis,1800,193,28,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Kelis
Morcheeba,41722,135,31,['triphopgenre'],http://en.wikipedia.org/wiki/Morcheeba
Hall & Oates,2599,386,35,"['pop', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Hall & Oates
The Weeknd,2818737,195,33,"['rnb', 'rap', 'pop']",http://en.wikipedia.org/wiki/The Weeknd
Dean Martin,264433,3183,581,['vocaljazz'],http://en.wikipedia.org/wiki/Dean Martin
LMFAO,22688,112,11,['edmgenre'],http://en.wikipedia.org/wiki/LMFAO
Gucci Mane,63655,2977,285,[],http://en.wikipedia.org/wiki/Gucci Mane
Rob Zombie,531787,158,16,['industrial'],http://en.wikipedia.org/wiki/Rob Zombie
OK Go,6285,72,18,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/OK Go
The Raconteurs,10143,28,0,"['alternative', 'rock']",http://en.wikipedia.org/wiki/The Raconteurs
Sade,143392,82,2,"['pop', 'relax', 'rnb']",http://en.wikipedia.org/wiki/Sade (singer)
Sheryl Crow,3016,350,32,"['pop', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/Sheryl Crow
Taking Back Sunday,4063,117,16,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Taking Back Sunday
Lorde,133285,63,14,['pop'],http://en.wikipedia.org/wiki/Lorde
Robyn,4099,192,38,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Robyn
Pharrell Williams,244061,269,18,[],http://en.wikipedia.org/wiki/Pharrell Williams
Billy Idol,45491,203,28,"['rock', 'holiday']",http://en.wikipedia.org/wiki/Billy Idol
Black Rebel Motorcycle Club,16020,68,8,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Black Rebel Motorcycle Club
Faith No More,9968,131,14,['rock'],http://en.wikipedia.org/wiki/Faith No More
fun.,13006,31,5,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Fun (band)
The Used,17870,136,26,['posthardcore'],http://en.wikipedia.org/wiki/The Used
Of Monsters and Men,50591,51,8,['indie'],http://en.wikipedia.org/wiki/Of Monsters and Men
The Temper Trap,3872,54,17,"['rock', 'alternative', 'dance']",http://en.wikipedia.org/wiki/The Temper Trap
Fryderyk Chopin,1303429,61106,4750,"['classical', 'classicalmasterpieces', 'pop']",
Fort Minor,27860,21,5,"['rap', 'foreignrap', 'alternative']",http://en.wikipedia.org/wiki/Fort Minor
Peter Bjorn and John,2254,92,12,"['indie', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Peter Bjorn and John
Spice Girls,7149,84,19,['pop'],http://en.wikipedia.org/wiki/Spice Girls
We Are Scientists,4142,159,35,['indie'],http://en.wikipedia.org/wiki/We Are Scientists
Sean Kingston,3522,233,84,[],http://en.wikipedia.org/wiki/Sean Kingston
Scissor Sisters,6439,80,17,"['pop', 'dance', 'alternative']",http://en.wikipedia.org/wiki/Scissor Sisters
Major Lazer,83550,200,43,"['electronics', 'dance', 'rap']",http://en.wikipedia.org/wiki/Major Lazer
Brand New,3370,74,10,"['alternative', 'rock', 'punk']",http://en.wikipedia.org/wiki/Brand New (band)
All Time Low,34362,83,25,"['alternative', 'pop', 'rock']",http://en.wikipedia.org/wiki/All Time Low
Wham!,23456,44,1,"['pop', 'estrada', 'films']",http://en.wikipedia.org/wiki/Wham!
Kate Nash,2386,83,19,"['pop', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Kate Nash
MARINA,78695,121,26,"['pop', 'dance', 'alternative']",http://en.wikipedia.org/wiki/Marina Diamandis
Morrissey,7971,217,29,"['indie', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Morrissey
Cage the Elephant,41042,66,5,['indie'],http://en.wikipedia.org/wiki/Cage the Elephant
Pet Shop Boys,36705,522,74,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Pet Shop Boys
Gym Class Heroes,26161,70,9,['rap'],http://en.wikipedia.org/wiki/Gym Class Heroes
Bill Withers,80209,70,3,"['pop', 'rnb', 'dance']",http://en.wikipedia.org/wiki/Bill Withers
Fugees,3854,68,1,['foreignrap'],http://en.wikipedia.org/wiki/Fugees
Apocalyptica,247706,90,17,['alternativemetal'],http://en.wikipedia.org/wiki/Apocalyptica
Missy Elliott,17191,273,28,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Missy Elliott
Supertramp,12498,98,15,"['rock', 'prog', 'alternative']",http://en.wikipedia.org/wiki/Supertramp
Skillet,1775977,162,22,"['alternative', 'rock', 'hardrock']",http://en.wikipedia.org/wiki/Skillet (band)
D12,33615,100,12,"['rap', 'foreignbard', 'reggae']",
Dashboard Confessional,822,122,27,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Dashboard Confessional
Smash Mouth,20258,95,12,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Smash Mouth
Bush,5110,134,13,"['rock', 'alternative', 'soundtrack']",
Andrew Bird,2649,298,34,['indie'],http://en.wikipedia.org/wiki/Andrew Bird
Beach House,7050,71,10,['indie'],http://en.wikipedia.org/wiki/Beach House
A Day to Remember,218374,107,12,['posthardcore'],http://en.wikipedia.org/wiki/A Day to Remember
Killswitch Engage,26287,110,9,['metalcoregenre'],http://en.wikipedia.org/wiki/Killswitch Engage
Frank Ocean,90551,64,6,['rnb'],http://en.wikipedia.org/wiki/Frank Ocean
Billie Holiday,54492,4375,767,['vocaljazz'],http://en.wikipedia.org/wiki/Billie Holiday
John Williams,10635,1446,72,"['films', 'soundtrack', 'classical']",http://en.wikipedia.org/wiki/John Williams
Mark Ronson,5756,126,9,"['pop', 'dance', 'rap']",http://en.wikipedia.org/wiki/Mark Ronson
Ryan Adams,2558,396,55,['rock'],http://en.wikipedia.org/wiki/Ryan Adams
Explosions in the Sky,29272,87,12,['postrock'],http://en.wikipedia.org/wiki/Explosions in the Sky
"Earth, Wind & Fire",121637,311,15,"['rnb', 'funk', 'soul']","http://en.wikipedia.org/wiki/Earth, Wind & Fire"
Keri Hilson,30614,83,12,"['pop', 'foreignrap', 'rap']",http://en.wikipedia.org/wiki/Keri Hilson
Natalie Imbruglia,4821,82,3,"['pop', 'rock']",http://en.wikipedia.org/wiki/Natalie Imbruglia
In Flames,99977,191,20,['alternativemetal'],http://en.wikipedia.org/wiki/In Flames
Corinne Bailey Rae,4879,73,17,"['pop', 'rnb', 'rap']",http://en.wikipedia.org/wiki/Corinne Bailey Rae
The Wombats,7605,132,20,['indie'],http://en.wikipedia.org/wiki/The Wombats
The Stone Roses,5748,54,4,['rock'],http://en.wikipedia.org/wiki/The Stone Roses
Swedish House Mafia,56241,36,11,['edmgenre'],http://en.wikipedia.org/wiki/Swedish House Mafia
Basement Jaxx,4132,212,36,"['electronics', 'house', 'dance']",http://en.wikipedia.org/wiki/Basement Jaxx
Daughtry,30711,93,5,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Daughtry (band)
The Dandy Warhols,1888,151,25,['alternative'],http://en.wikipedia.org/wiki/The Dandy Warhols
Bat for Lashes,5593,71,17,['indie'],http://en.wikipedia.org/wiki/Bat for Lashes
Third Eye Blind,1780,113,18,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Third Eye Blind
TLC,16766,119,7,"['rnb', 'soul', 'pop']",http://en.wikipedia.org/wiki/TLC (group)
Kansas,286498,153,10,"['rock', 'prog', 'hardrock']",http://en.wikipedia.org/wiki/Kansas (band)
The Bravery,1690,36,5,['rock'],http://en.wikipedia.org/wiki/The Bravery
Tom Petty and the Heartbreakers,3830,350,34,"['rock', 'rnr', 'pop']",http://en.wikipedia.org/wiki/Tom Petty and the Heartbreakers
Sex Pistols,47029,165,18,"['punk', 'rock']",http://en.wikipedia.org/wiki/Sex Pistols
Shinedown,71269,109,28,['alternativemetal'],http://en.wikipedia.org/wiki/Shinedown
White Lies,16165,61,13,"['alternative', 'rock']",http://en.wikipedia.org/wiki/White Lies (band)
DJ Khaled,18608,275,25,"['rap', 'foreignrap', 'pop']",http://en.wikipedia.org/wiki/DJ Khaled
Kate Bush,9533,59,5,['pop'],http://en.wikipedia.org/wiki/Kate Bush
Miike Snow,2127,53,6,['pop'],http://en.wikipedia.org/wiki/Miike Snow
INXS,16695,177,33,"['rock', 'pop', 'dance']",http://en.wikipedia.org/wiki/INXS
Cut Copy,1633,124,30,"['electronics', 'pop', 'dance']",http://en.wikipedia.org/wiki/Cut Copy
Peter Gabriel,17756,325,31,"['rock', 'folk', 'pop']",http://en.wikipedia.org/wiki/Peter Gabriel
Edward Sharpe and the Magnetic Zeros,4127,58,7,['indie'],http://en.wikipedia.org/wiki/Edward Sharpe and the Magnetic Zeros
Static-X,383753,102,9,['numetal'],http://en.wikipedia.org/wiki/Static-X
Benny Benassi,209167,328,62,['edmgenre'],http://en.wikipedia.org/wiki/Benny Benassi
Roxette,240129,292,43,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Roxette
Pulp,6946,98,8,['rock'],http://en.wikipedia.org/wiki/Pulp (band)
The Byrds,2451,289,29,"['rock', 'pop', 'foreignbard']",http://en.wikipedia.org/wiki/The Byrds
David Gray,997,242,37,"['pop', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/David Gray (musician)
Kelly Rowland,25572,124,19,"['rnb', 'pop', 'dance']",http://en.wikipedia.org/wiki/Kelly Rowland
The Cinematic Orchestra,6072,94,25,['lounge'],http://en.wikipedia.org/wiki/The Cinematic Orchestra
Ray LaMontagne,685,28,0,['foreignbard'],http://en.wikipedia.org/wiki/Ray LaMontagne
Tracy Chapman,6975,97,10,"['pop', 'folk', 'folkrock']",http://en.wikipedia.org/wiki/Tracy Chapman
The Kills,7300,102,23,"['alternative', 'rock']",http://en.wikipedia.org/wiki/The Kills
will.i.am,29064,210,28,['electronics'],http://en.wikipedia.org/wiki/Will.i.am
Puddle of Mudd,4128,72,8,"['rock', 'alternative', 'numetal']",http://en.wikipedia.org/wiki/Puddle of Mudd
Bombay Bicycle Club,10043,79,17,['indie'],http://en.wikipedia.org/wiki/Bombay Bicycle Club
Whitesnake,92916,322,26,['hardrock'],http://en.wikipedia.org/wiki/Whitesnake
Robin Thicke,33750,169,22,"['rnb', 'soul', 'pop']",http://en.wikipedia.org/wiki/Robin Thicke
Antonio Vivaldi,2106593,50088,3026,"['classical', 'vocal', 'classicalmasterpieces']",
Manu Chao,137342,147,23,"['reggae', 'folk', 'ska']",http://en.wikipedia.org/wiki/Manu Chao
Bad Religion,22628,282,33,"['punk', 'rock', 'holiday']",http://en.wikipedia.org/wiki/Bad Religion
Tame Impala,66210,89,14,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Tame Impala
The Mamas & the Papas,11143,90,23,"['pop', 'rock', 'folkrock']",http://en.wikipedia.org/wiki/The Mamas & the Papas
Rush,81949,308,48,['prog'],http://en.wikipedia.org/wiki/Rush (band)
Paolo Nutini,5100,52,13,"['rock', 'pop']",http://en.wikipedia.org/wiki/Paolo Nutini
Joe Cocker,165113,293,36,"['rock', 'pop', 'folk']",http://en.wikipedia.org/wiki/Joe Cocker
Blue Öyster Cult,7184,257,22,['hardrock'],http://en.wikipedia.org/wiki/Blue Öyster Cult
Gavin DeGraw,4362,79,0,"['pop', 'holiday', 'allrock']",http://en.wikipedia.org/wiki/Gavin DeGraw
Brian Eno,12302,322,40,['ambientgenre'],http://en.wikipedia.org/wiki/Brian Eno
Ennio Morricone,49005,4737,385,[],http://en.wikipedia.org/wiki/Ennio Morricone
Macklemore & Ryan Lewis,6622,91,8,"['rap', 'soul']",http://en.wikipedia.org/wiki/Ryan Lewis
Steppenwolf,6297,163,21,"['hardrock', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/Steppenwolf (band)
of Montreal,1266,33,3,['indie'],http://en.wikipedia.org/wiki/Of Montreal
Armin van Buuren,1458225,142,16,['trance'],http://en.wikipedia.org/wiki/Armin van Buuren
Cher,30615,377,59,"['pop', 'soundtrack', 'rock']",http://en.wikipedia.org/wiki/Cher
Simple Minds,2676,278,42,"['rock', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Simple Minds
The Lumineers,237619,67,23,['folkrock'],http://en.wikipedia.org/wiki/The Lumineers
Yes,208222,313,50,"['prog', 'rock', 'punk']",http://en.wikipedia.org/wiki/Yes (band)
Sugababes,3253,147,21,['pop'],http://en.wikipedia.org/wiki/Sugababes
Def Leppard,103446,215,34,"['hardrock', 'rock', 'dance']",http://en.wikipedia.org/wiki/Def Leppard
